bowler_pkey,Smart_wicket,Actual_wicket,no_innings_bowled,smart_runs_conceded,Actual_runs_conceded,balls,no_balls,smart_bowl_average,economy_rate,bowl_average_nominal,economy_rate_nominal
2.0,78.55084129563437,61,57,1624.3536940678314,1510.0,1244,5,20.67901078174841,1.3110199306439316,24.75409836065574,1.218724778046812
30.0,35.69272711357017,27,24,634.7851679958925,594.0,479,0,17.784720287023145,1.3252299958160594,22.0,1.2400835073068894
22.0,1.4870700393729126,1,3,49.38710288083889,42.0,30,0,33.211013316941745,1.6462367626946297,42.0,1.4
36.0,198.27497575655417,166,116,2765.754616688638,2900.0,2624,3,13.949085637939932,1.0552287740132156,17.46987951807229,1.1064479206409767
24.0,52.95080399760046,41,52,1147.713888012749,1117.0,950,0,21.67509841899208,1.2081198821186832,27.24390243902439,1.1757894736842105
41.0,143.77483735598642,136,103,3121.282303116147,3020.0,2218,4,21.709517190326245,1.4097932715068415,22.205882352941178,1.3640469738030714
39.0,112.05857525443372,85,77,2254.2648218015083,2214.0,1735,7,20.11684350513207,1.3045514015055024,26.04705882352941,1.28125
10.0,40.9356493828697,32,36,968.3398203133345,980.0,780,8,23.655171834615007,1.2543261921157183,30.625,1.2694300518134716
12.0,58.78345232596738,46,50,1080.562999492301,1062.0,777,0,18.382094904877953,1.3906859710325625,23.08695652173913,1.3667953667953667
37.0,52.28630305667741,40,34,1164.488287363371,1039.0,731,3,22.271383121141433,1.5995718233013339,25.975,1.4271978021978022
32.0,39.13258803940027,32,31,988.2263166513774,921.0,629,3,25.253282907238113,1.578636288580475,28.78125,1.4712460063897763
35.0,18.002406592238728,13,23,461.3385142532624,406.0,273,2,25.626491207689785,1.7023561411559498,31.23076923076923,1.4981549815498154
126.0,98.67107665497358,92,56,1614.698258086972,1645.0,1283,4,16.36445362538346,1.2624693182853572,17.880434782608695,1.2861610633307272
120.0,108.57932483309975,89,71,1671.084285702606,1734.0,1526,1,15.39044646180362,1.095792974231217,19.48314606741573,1.1370491803278688
113.0,122.15453319484652,108,76,2202.4409797690582,2142.0,1645,7,18.029956991084266,1.344591562740573,19.833333333333332,1.3076923076923077
127.0,14.267273645512864,14,13,401.14533536522015,381.0,263,2,28.11646747179217,1.536955307912721,27.214285714285715,1.4597701149425288
147.0,35.21213792291843,27,25,575.063519155189,626.0,541,1,16.331400280608893,1.0649324428799798,23.185185185185187,1.1592592592592592
81.0,44.48632865042926,36,35,1051.0592351339146,1003.0,757,8,23.62656724031042,1.403283357989205,27.86111111111111,1.3391188251001336
96.0,60.50401879623583,47,32,724.7029273471132,846.0,734,3,11.977765142969306,0.9913856735254627,18.0,1.1573187414500683
92.0,45.697225231939086,33,37,1109.0134739938558,1049.0,736,1,24.268726785160137,1.5088618693793956,31.78787878787879,1.4272108843537414
90.0,118.86809189911588,96,91,2367.555698793669,2259.0,1604,6,19.917504024570604,1.4815742795955376,23.53125,1.4136420525657072
64.0,74.5181648533483,59,45,1202.5354279411827,1194.0,936,1,16.137480442624582,1.2861341475306767,20.23728813559322,1.277005347593583
60.0,12.362837055073186,9,17,190.97117378364823,183.0,138,0,15.447196540156753,1.3838490853887553,20.333333333333332,1.326086956521739
71.0,56.977583639309,44,38,1181.6285955570943,1088.0,870,0,20.738482050015985,1.3581937879966601,24.727272727272727,1.2505747126436781
242.0,60.76238328128513,47,45,1376.18875441406,1243.0,966,3,22.64869611916502,1.4290641271174038,26.4468085106383,1.2907580477673937
