BR,runs_per_balls
119.0,0.7925149700598803
118.0,0.9434977578475336
117.0,0.9964125560538116
116.0,1.0253579952267302
115.0,0.9925194494314782
114.0,1.0248205741626795
113.0,1.016726403823178
112.0,1.1276532137518684
111.0,1.193731343283582
110.0,1.2089686098654708
109.0,1.2033999403519235
108.0,1.2121754700089526
107.0,1.2487324783775724
106.0,1.2998505231689088
105.0,1.3170149253731342
104.0,1.2665869695158398
103.0,1.291442250149611
102.0,1.198744769874477
101.0,1.2676435406698565
100.0,1.3405146618791144
99.0,1.3157894736842106
98.0,1.3324356672651108
97.0,1.2719114567753516
96.0,1.2804549536067045
95.0,1.307508226144182
94.0,1.3344321246628708
93.0,1.3319377990430623
92.0,1.3853760863050644
91.0,1.306634787806336
90.0,1.2440708495947164
89.0,1.3091018323820967
88.0,1.3676470588235294
87.0,1.3436189334931097
86.0,1.339928057553957
85.0,1.3214285714285714
84.0,1.2896634615384615
83.0,0.9797766374886809
82.0,1.1172746457642448
81.0,1.1346791202169328
80.0,1.122068550811786
79.0,1.1395839614109136
78.0,1.0800362428269406
77.0,1.0869827846572033
76.0,1.1297134238310709
75.0,1.1550785973397824
74.0,1.1836055656382336
73.0,1.1399214264128135
72.0,1.0986384266263238
71.0,1.2146755609460278
70.0,1.1769347496206373
69.0,1.2367061683378913
68.0,1.2049878345498783
67.0,1.1772036474164134
66.0,1.1465569774527726
65.0,1.1971358927483242
64.0,1.2087778116427919
63.0,1.222898903775883
62.0,1.1617915904936014
61.0,1.2233394271785496
60.0,1.129505192425168
59.0,1.2480857580398161
58.0,1.2785276073619631
57.0,1.2981004901960784
56.0,1.21704475781729
55.0,1.2315240723704386
54.0,1.09898555179834
53.0,1.2211597779148673
52.0,1.2699443413729128
51.0,1.2329106093411693
50.0,1.21483771251932
49.0,1.2022888957624498
48.0,1.2364990689013036
47.0,1.2962387317376438
46.0,1.2745098039215685
45.0,1.2985633978763274
44.0,1.2898188632104934
43.0,1.2921102066374452
42.0,1.224342928660826
41.0,1.3378420887071407
40.0,1.3332284455632473
39.0,1.274929223026109
38.0,1.2537783375314862
37.0,1.2447177546515296
36.0,1.2579113924050633
35.0,1.3892063492063491
34.0,1.3322734499205087
33.0,1.3522112631244034
32.0,1.3664754620777566
31.0,1.3524327784891166
30.0,1.2712082262210798
29.0,1.4381659670649014
28.0,1.3816942551119766
27.0,1.3564453125
26.0,1.376958224543081
25.0,1.3325673013788575
24.0,1.3391619927416694
23.0,1.4677740863787376
22.0,1.3626336898395721
21.0,1.494786411032627
20.0,1.444744846231835
19.0,1.4244897959183673
18.0,1.4084073820915926
17.0,1.459599447513812
16.0,1.4984315092366678
15.0,1.470918009810792
14.0,1.546355272469922
13.0,1.4736086175942549
12.0,1.4551724137931035
11.0,1.532180948878264
10.0,1.5660588016375139
9.0,1.6243366186504928
8.0,1.5951557093425606
7.0,1.593934619929106
6.0,1.5271695052716951
5.0,1.6125
4.0,1.5941780821917808
3.0,1.6696074106749008
2.0,1.7129337539432177
1.0,1.6826968411126828
0.0,1.68
